# Arandkei 88 Index, - Historical Performance Log,,
# Copyright (c) 2026, Arandkei., All rights reserved.,
# Benchmark Owner:, Arandkei,,
# Base Date:, September 1 - 2026, Base Value:, 1000.00
# Data Source:, Official, Arandkei 88, Calculation Engine
Date,Index_Level,Daily_Return,Constituents
2026-09-01,984.115,-1.588%,88
2026-09-02,993.456,0.949%,88
2026-09-03,1014.229,2.091%,88
2026-09-04,1017.432,0.316%,88
2026-09-08,1024.497,0.694%,88
2026-09-09,1008.112,-1.599%,88
2026-09-10,987.406,-2.054%,88
2026-09-11,993.276,0.594%,88
2026-09-14,986.440,-0.688%,88
2026-09-15,975.590,-1.100%,88
2026-09-16,972.930,-0.273%,88
2026-09-17,989.110,1.663%,88
2026-09-18,988.258,-0.086%,88
2026-09-21,1004.248,1.618%,88
2026-09-22,1011.585,0.731%,88
