# Arandkei 500 Index, -, Official Constituent Dataset,,
# Copyright (c), 2026 Arandkei., All rights reserved.,,
# Author:, Arandkei, (Gerardo LunaRodas),,
# Methodology:, https://github.com/lunarodas/arandkei-500/blob/main/METHODOLOGY.md,,,
# License:, MIT License,,,
# Output Weight Scheme:, Equal Weight,,, 0.20%
Ticker,Name,Exchange,Sector,Weight
AAOI,"Applied Optoelectronics, Inc.",NASDAQ,Technology,0.20%
AAUC,Allied Gold Corporation,NYSE,Materials,0.20%
ABCL,AbCellera Biologics Inc.,NASDAQ,Healthcare,0.20%
ACHR,Archer Aviation Inc.,NYSE,Industrials,0.20%
ADPT,Adaptive Biotechnologies Corporation,NASDAQ,Healthcare,0.20%
AEHR,"Aehr Test Systems, Inc.",NASDAQ,Technology,0.20%
AEM,Agnico Eagle Mines Limited,NYSE,Materials,0.20%
AER,AerCap Holdings N.V.,NYSE,Industrials,0.20%
AFRM,"Affirm Holdings, Inc.",NASDAQ,Technology,0.20%
AG,First Majestic Silver Corp.,NYSE,Materials,0.20%
AGI,Alamos Gold Inc.,NYSE,Materials,0.20%
AGIO,"Agios Pharmaceuticals, Inc.",NASDAQ,Healthcare,0.20%
AGNC,AGNC Investment Corp.,NASDAQ,Real Estate,0.20%
ALAB,"Astera Labs, Inc.",NASDAQ,Technology,0.20%
ALC,Alcon Inc.,NYSE,Healthcare,0.20%
ALH,Alliance Laundry Holdings Inc.,NYSE,Industrials,0.20%
ALM,Almonty Industries Inc.,NASDAQ,Materials,0.20%
ALMS,Alumis Inc.,NASDAQ,Healthcare,0.20%
ALNY,"Alnylam Pharmaceuticals, Inc.",NASDAQ,Healthcare,0.20%
AMBA,"Ambarella, Inc.",NASDAQ,Technology,0.20%
AMC,"AMC Entertainment Holdings, Inc.",NYSE,Communication Services,0.20%
AMLX,"Amylyx Pharmaceuticals, Inc.",NASDAQ,Healthcare,0.20%
AMPX,"Amprius Technologies, Inc.",NYSE,Industrials,0.20%
AMRZ,Amrize AG,NYSE,Materials,0.20%
ANDG,Andersen Group Inc.,NYSE,Consumer Discretionary,0.20%
APLD,Applied Digital Corporation,NASDAQ,Technology,0.20%
APPN,Appian Corporation,NASDAQ,Technology,0.20%
APPS,"Digital Turbine, Inc.",NYSE,Technology,0.20%
AQN,Algonquin Power & Utilities Corp.,NYSE,Utilities,0.20%
ARIS,Aris Mining Corporation,NYSE,Materials,0.20%
ARQT,"Arcutis Biotherapeutics, Inc.",NASDAQ,Healthcare,0.20%
ARXS,"Arxis, Inc.",NASDAQ,Industrials,0.20%
