# Arandkei 500 Index, - Historical Performance Log,,
# Copyright (c) 2026, Arandkei., All rights reserved.,
# Benchmark Owner:, Arandkei,,
# Base Date:, September 1 - 2026, Base Value:, 1000.00
# Data Source:, Official, Arandkei 500, Calculation Engine
Date,Index_Level,Daily_Return,Constituents
2026-09-01,980.583,-1.942%,500
2026-09-02,991.240,1.087%,500
2026-09-03,1004.874,1.375%,500
2026-09-04,1004.088,-0.078%,500
2026-09-08,1002.103,-0.196%,500
2026-09-09,985.626,-1.644%,500
2026-09-10,968.832,-1.704%,500
2026-09-11,974.521,0.587%,500
2026-09-14,972.839,-0.173%,500
2026-09-15,961.993,-1.115%,500
2026-09-16,959.006,-0.310%,500
